AQI Value,CO AQI Value,Ozone AQI Value,NO2 AQI Value,PM2.5 AQI Value,lat,lng
38,1,28,4,38,51.4508,7.0131
38,1,28,4,38,51.4667,4.4667
31,1,31,2,25,37.2917,-4.8792
40,1,40,1,30,43.3333,12.9167
45,1,32,8,45,38.5974,-90.0053
301,1,82,1,301,31.4167,73.0911
59,2,41,5,59,38.8847,-77.1751
78,0,37,0,78,50.15,-5.07
78,0,37,0,78,18.49,-77.661
78,0,37,0,78,41.5913,-70.5912
78,0,37,0,78,43.7476,-70.2827
28,1,27,2,28,49.2992,6.1097
44,1,44,0,33,43.8333,13.0167
30,0,30,2,26,48.8086,9.2758
49,1,49,0,47,35.8725,14.5228
217,3,103,1,217,26.3,87.265
38,1,38,1,36,44.1833,12.1333
32,0,13,0,32,-26.1833,-58.1833
32,0,13,0,32,-15.5369,-47.3339
64,2,5,15,64,42.9253,-88.8442
58,1,24,4,58,40.2537,-103.7903
157,4,17,2,157,-1.7,29.25
84,1,9,15,84,25.8395,-80.2368
40,1,28,4,40,51.8306,4.9742
51,1,21,5,51,49.0325,2.4747
43,1,17,4,43,39.0877,-108.5673
72,1,34,3,72,43.6667,6.9167
66,2,12,15,66,36.168,-82.8197
75,2,5,14,75,39.6153,-104.9131
59,2,1,6,59,-1.6,-79
59,2,1,6,59,8.4672,-74.5367
32,1,25,1,32,40.5333,-7.3333
85,1,27,6,85,44.9167,10.6667
99,3,41,6,99,26.5794,106.7078
34,1,34,2,27,51.0333,7.5667
37,1,37,1,24,52.3331,8.75
144,3,4,12,144,19.15,-72.0167
64,1,29,4,64,37.3434,-79.9534
31,1,25,3,31,49.3167,7.3333
72,2,17,7,72,34.4892,-93.0501
70,2,28,2,70,42.9633,126.7478
95,3,8,11,95,19.1489,-96.9661
68,2,29,2,68,42.6229,126.2614
124,4,44,7,124,23.1115,114.4152
32,1,32,2,24,54.4667,9.05
39,1,29,4,39,51.8833,5.2833
61,1,40,0,61,46.72,25.59
174,1,46,0,174,26.2215,78.178
83,1,11,12,83,25.9854,-80.1423
38,0,38,0,20,56.6739,12.8572
37,1,37,1,24,52.1,9.3667
34,1,28,4,34,51.7319,6.5908
38,1,32,1,38,47.6681,19.6697
53,1,45,1,53,34.9078,-76.8987
31,1,31,1,26,38.6224,-122.8651
32,0,32,1,26,48.5967,8.8708
93,2,6,17,93,25.8696,-80.3045
25,1,7,1,25,-3.7275,-38.5275
56,1,20,7,56,33.156,-96.8216
38,1,38,0,14,36.2381,137.1862
31,1,18,0,31,-24.6667,25.7833
36,1,5,3,36,5.0833,-73.3667
45,1,45,1,25,38.8122,-94.9275
45,1,45,1,25,42.5845,-71.9868
47,1,30,8,47,41.3696,-81.815
61,1,27,2,61,50.2833,21.4333
46,1,26,4,46,43.2508,-5.7767
43,1,31,0,43,50.0667,43.25
43,1,31,0,43,43.9283,132.0061
26,0,16,0,26,-7.4072,36.9722
59,1,13,6,59,-2.1347,-79.5872
44,1,21,8,44,40.6892,-111.8292
44,1,21,8,44,42.0859,-80.1194
72,2,16,10,72,33.0874,-83.2414
32,1,17,0,32,-24.6333,25.8667
46,1,32,0,46,6.8726,81.3373
64,2,9,7,64,14.501,-89.8723
125,4,4,36,125,34.0155,-118.1108
24,0,13,0,24,-7.8889,-37.12
50,1,22,5,50,48.7039,2.4605
48,2,21,0,48,10.2604,13.2606
67,4,20,1,67,-3.25,29.6
54,1,19,6,54,34.7432,-87.6343
153,0,38,0,153,22.43,80.12
51,1,51,1,44,35.4876,137.5006
356,2,100,1,354,31.45,73.7067
78,2,43,6,78,41.4291,-71.4668
39,1,39,0,18,48.48,124.8738
73,2,40,10,73,40.8467,-73.1522
34,1,34,2,28,50.9147,8.1
53,1,53,1,23,41.4667,12.6667
57,1,45,4,57,41.3113,-72.9246
57,1,45,4,57,41.0676,-85.0174
39,1,20,4,39,30.0049,-91.8202
47,0,27,3,47,51.5886,-2.9978
47,0,27,3,47,39.0856,-84.4868
47,0,27,3,47,52.7691,-2.3787
47,0,27,3,47,41.4801,-71.3203
47,0,27,3,47,50.701,-1.2883
47,0,27,3,47,44.6242,-124.0513
64,3,14,1,64,-2.5122,30.6558
33,0,15,0,33,-3.2496,35.52
32,1,32,0,9,69.4081,30.2206
32,0,32,1,18,46.3258,-0.4606
51,0,31,0,51,53.5167,43.6667
112,1,47,0,112,37.01,37.7972
55,1,55,0,42,40.8,17.1333
43,1,33,0,43,7.8881,98.3975
291,1,41,0,291,26.87,75.23
52,1,48,3,52,39.889,-82.7678
151,3,151,2,97,35.5104,117.62
58,1,47,3,58,43.4667,11.15
48,1,9,4,48,-12.3659,-38.2433
42,1,39,4,42,41.4083,13.0443
29,1,6,1,29,-13.4408,-49.1489
41,0,26,1,41,18.1757,-76.4503
28,1,28,0,12,49.8353,-124.5247
43,1,14,1,43,-22.0061,-51.5531
32,1,32,1,29,57.3825,41.2861
52,1,35,4,52,48.15,11.35
71,1,16,0,71,10.9972,-74.2875
17,0,17,0,3,-53.1667,-70.9333
101,2,90,1,101,-6.5533,107.4472
55,1,27,4,55,50.4333,3.8667
54,1,36,3,54,39.2529,9.1762
88,3,0,7,88,-22.4069,-44.2578
76,1,39,1,76,51.0667,19.45
65,1,28,4,65,34.961,-89.8469
35,1,35,0,16,63.9167,38.0833
43,2,23,5,43,47.4333,8.5667
48,1,12,13,48,45.3418,-122.5924
63,1,23,7,63,29.2985,-81.1014
64,1,39,1,64,51.3003,13.1072
37,1,30,3,37,51.2167,5.4167
53,2,23,6,53,40.5849,9.0033
59,1,17,0,59,2.4167,30.9875
53,1,27,0,53,18.3964,103.6558
74,2,47,0,74,-2.9861,104.7556
51,1,19,15,51,33.5434,-111.9595
15,0,14,0,15,-6.4328,-43.9839
20,0,7,1,20,-17.2333,-67.9167
74,3,20,26,74,40.7621,-73.0185
34,1,34,0,28,55.9667,43.0667
103,1,19,4,103,29.5581,-95.3218
58,2,31,4,58,46.0667,11.2333
151,1,31,5,151,43.695,5.5036
14,0,14,0,13,-9.3928,-40.5078
49,1,28,6,49,55.9333,39.4667
51,1,22,6,51,47.9242,9.2567
49,1,31,0,49,-23.9333,31.1167
30,1,30,3,20,51.7958,4.6783
40,1,35,1,40,47.9597,26.3997
72,2,15,16,72,42.6832,-71.301
85,2,85,1,61,24.42,87.34
37,1,26,0,37,55.4833,54.8667
87,4,14,33,87,40.7257,-73.1869
109,3,16,31,109,40.6432,-73.6672
56,1,35,4,56,49.4667,8.9833
69,1,38,2,69,50.4934,9.6961
57,1,19,3,57,18.763,-69.042
62,1,33,1,62,38.2014,37.1883
78,3,25,1,78,0.05,35.7167
90,2,7,8,90,-23.0428,-47.3739
30,0,30,0,26,60.8819,11.5623
56,1,30,1,56,27.9617,-110.8125
32,0,32,1,17,52.2167,6.9
57,1,43,2,57,49.6569,8.9931
57,1,43,2,57,48.3281,9.8878
45,1,35,2,45,51.0833,6.3167
67,2,35,13,67,39.0109,-84.5864
34,1,34,2,30,40.955,-8.627
54,1,25,6,54,30.6571,-81.4511
70,2,28,16,70,39.2159,-84.5144
51,2,39,7,51,41.7667,12.2333
105,3,12,26,105,40.7773,-74.3953
59,1,36,4,59,49.7197,11.0581
33,0,33,1,9,57.693,-2.005
39,1,18,0,39,6.1333,-5.9333
20,0,16,1,20,-8.8903,-36.4928
75,2,29,8,75,45.5771,9.0814
32,1,30,7,32,37.9637,-121.2296
39,2,10,0,39,4.275,21
78,6,17,3,78,-2.4697,29.5814
32,0,32,2,16,51.385,0.55
32,0,32,2,16,51.0375,-2.2748
30,0,12,1,30,-17.3028,-49.0178
43,1,12,5,43,44.6951,-73.4563
165,4,78,6,165,32.2986,72.3508
42,1,42,0,26,54.3233,10.1394
107,2,29,1,107,-1.9536,30.0606
35,1,35,0,15,56.8667,37.35
35,1,23,0,35,8.0522,-1.7347
58,1,58,0,54,46.4319,19.4883
51,1,15,0,51,3.2889,32.8778
109,3,47,2,109,19.6243,84.9408
81,1,49,0,81,45.55,13.7333
174,2,44,4,174,18.8215,78.7119
53,1,38,2,53,50.8833,4.5333
117,2,40,5,117,16.9839,77.7193
48,1,48,0,19,45.85,41.5167
48,1,48,0,19,45.1278,39.5725
43,1,39,0,43,59.0167,54.6667
128,1,35,2,128,22.2068,74.7579
30,1,30,0,28,16.1467,94.7611
66,1,28,1,66,34.5006,-114.3113
35,0,35,0,8,41.3099,-105.6085
78,1,33,1,78,-23.0118,-47.8657
48,1,48,0,29,43.5678,3.9021
75,1,54,0,75,48.6856,6.1522
55,1,27,0,55,-20.135,57.5211
84,1,62,0,84,45.1929,11.3115
32,1,29,1,32,51.9165,-0.6617
63,1,39,0,63,47.3817,15.0972
264,15,8,52,264,-6.5742,106.632
50,1,32,1,50,45.1679,-93.083
60,1,29,0,60,-21.6786,-49.7425
35,1,17,0,35,-23.31,-51.1628
35,1,35,0,31,50.7356,2.2372
116,3,19,25,116,34.1141,-118.4068
45,1,45,0,28,36.1833,-5.4833
34,1,30,1,34,51.8783,-0.4147
67,1,21,1,67,-22.5022,-48.7114
76,1,59,0,76,43.3003,13.4533
154,3,2,28,154,22.535,114.054
97,2,25,6,97,44.3054,86.0804
148,3,18,23,148,34.1687,-118.0504
61,1,21,3,61,31.563,-110.3153
35,1,35,0,17,57.15,24.8667
53,1,46,0,53,36.1844,-94.5315
71,2,16,3,71,4.5872,-74.2214
36,1,26,9,36,38.5677,-121.4685
36,1,26,9,36,-19.865,-47.44
28,1,28,3,17,51.755,-0.336
26,1,26,2,15,56.3404,-2.7955
75,1,43,3,75,44.3667,9.15
68,1,40,1,68,50.25,12.0167
48,1,48,3,29,39.9588,-82.7943
43,1,28,4,43,37.4994,13.265
33,1,33,2,15,46.2824,-119.2939
33,1,33,2,15,40.449,-75.3362
33,1,33,2,15,40.2842,-78.8449
33,1,33,2,15,40.644,-79.9579
46,1,32,4,46,49.2942,6.9375
69,1,36,2,69,51.3081,13.2939
36,0,36,0,16,55.4425,11.79
58,1,21,1,58,-32.035,-52.0986
46,1,21,0,46,11.4386,-85.8286
47,1,25,5,47,50.6047,3.0878
44,1,27,5,44,50.7536,3.1203
28,1,23,5,28,52.37,-1.26
50,1,15,10,50,52.7599,-1.9388
137,3,9,10,137,20.5703,-101.1972
137,3,9,10,137,40.965,-5.6642
137,3,9,10,137,-31.7667,-70.9667
19,1,19,0,11,66.5333,66.6333
108,1,52,1,108,39.6547,66.9758
72,1,29,2,72,30.6263,-87.8816
226,1,48,0,226,25.67,78.47
57,2,27,13,57,42.1654,-87.8516
35,0,35,1,20,53.905,13.0439
180,2,107,0,180,31.8314,70.9019
65,0,21,0,65,13.23,77.7
154,2,13,4,154,14.655,-16.2314
49,1,49,3,43,33.6239,130.5262
43,1,43,0,25,53.6028,9.8233
43,1,43,2,23,27.7822,-80.4819
49,0,24,0,49,-5.5576,-80.8223
154,2,0,23,154,-26.5161,29.2028
44,1,44,0,32,52.3161,9.9642
421,27,0,91,415,37.56,126.99
96,1,59,0,96,45.7333,8.6333
112,3,6,19,112,35.2236,137.0842
69,1,56,0,69,49.1511,6.1514
82,2,41,6,82,38.8631,-90.0774
54,1,15,0,54,6.3833,10.0667
39,1,31,0,39,41.6281,48.6828
43,1,43,0,24,50.2569,31.7817
74,1,34,0,74,12.9667,-2.2667
51,1,44,1,51,41.2063,-73.9884
60,1,49,1,60,41.122,-112.0995
60,1,49,1,60,33.6064,-88.6572
57,1,32,5,57,41.8023,-87.9006
41,1,35,1,41,42.5864,-71.4401
50,1,42,2,50,37.2693,-76.7076
86,1,86,1,19,28.0118,-81.7014
53,1,29,0,53,44.3927,-89.8265
41,1,41,3,24,41.7092,-86.869
48,1,29,8,48,41.4459,-74.4236
48,1,29,8,48,39.5033,-84.3659
48,1,29,8,48,40.3892,-74.082
48,1,29,8,48,41.5476,-72.6549
48,1,29,8,48,40.179,-74.9059
48,1,29,8,48,39.445,-75.7183
48,1,29,8,48,41.5175,-71.2769
48,1,29,8,48,39.9094,-75.4311
48,1,29,8,48,38.241,-85.5214
48,1,29,8,48,40.201,-76.7289
36,1,34,5,36,34.4,133.0833
58,1,45,4,58,39.3444,-76.7668
36,0,36,0,27,16.886,-24.988
42,1,42,1,31,35.4402,137.0157
168,4,168,1,165,26.3638,84.364
74,1,12,10,74,19.3833,-70.5167
62,1,45,3,62,41.0833,16.7833
31,1,31,0,20,53.7333,119.7667
28,1,28,1,27,15.7331,120.5725
28,1,28,1,27,41.4867,2.1879
28,1,28,1,27,39.5456,-0.3956
64,1,44,2,64,45.8,13.5333
